number,chat_room,theme,number_docs,processing_time,model,topic01,topic02,topic03,ca,cp,npmi,umass
1,akka/akka,Application programming interface; Distributed software development,"70,802","46,703,377",GPU-PDMM,actor message stream val source create cluster node flow error ,akka work question thing good issue java find write idea ,case request http code type test scala file class response ,0.426594647,0.095789849,-0.015505591,-2.562778091
2,akka/akka,Application programming interface; Distributed software development,"70,802","64,433",LDA,akka work good stream java code question thing http version,actor message cluster node akka send create system work start,val case stream source flow def request element sink class,0.396095047,-0.074232847,-0.062946426,-2.624357519
3,akka/akka,Application programming interface; Distributed software development,"70,802",2014827,PTM,actor akka message cluster work node create question system good ,stream source request flow message akka http connection element future ,val case def class import implicit info error string message ,0.256892436,-0.055958518,-0.066736011,-2.965420641
4,R4stl1n/allianceauth,Authentication,"96,275","30,064,089",GPU-PDMM,file error work user group server update issue change discord ,thing stuff run character database wait guess pull git write ,api set python corp alliance key celery seat member task ,0.223673581,0.053095267,-0.051198043,-3.324495779
5,R4stl1n/allianceauth,Authentication,"96,275","47,346",LDA,group user discord corp add api service token work change,work thing good issue time test stuff update install problem,file error python return call install celery apache pid module,0.239463782,0.055351691,-0.033341563,-3.597553639
6,R4stl1n/allianceauth,Authentication,"96,275",1225474,PTM,work install thing issue good time apache update python celery ,group user discord add set api corp error change server ,file error return python call pid debug module traceback response ,0.129085626,0.016847785,-0.050545887,-4.845204398
7,allure-framework/allure-core,Software testing,"14,869","6,433,334",GPU-PDMM,allure report generate plugin version dependency folder jenkin build info ,file error add java testng xml method class feature public ,test work issue step create fail project case problem find ,0.353862273,0.048244068,-0.043441281,-3.081844348
8,allure-framework/allure-core,Software testing,"14,869","10,584",LDA,allure report generate error test file folder plugin jenkin build ,test allure report step case fail file public method screenshot ,version dependency plugin allure configuration file work property java issue ,0.18345943,0.057836874,-0.08314442,-3.75583927
9,allure-framework/allure-core,Software testing,"14,869",248493,PTM,error file info step test method public fail import failure ,allure report test generate work file issue folder jenkin add ,version plugin dependency allure configuration property java install maven jenkins ,0.223851384,0.056048048,-0.065151205,-3.788137176
10,amethyst/engine,Games development,"22,282","9,907,578",GPU-PDMM,work type thing time good pass code add stuff crate ,system amethyst game event engine user rust thread pretty input ,asset component entity file trait load transform datum format config ,0.146037062,0.022743567,-0.070658841,-4.120502911
11,amethyst/engine,Games development,"22,282","15,470",LDA,work time good merge review issue amethyst release wait code ,type component pass system entity asset mesh thread add transform ,system work game engine amethyst crate thing event code good ,0.271059555,0.041903988,-0.036094368,-3.031119656
12,amethyst/engine,Games development,"22,282",397592,PTM,work issue crate amethyst thread merge problem renderer review release ,type asset system pass component entity add mesh trait function ,thing good work game code event system engine idea time ,0.322901246,0.012835793,-0.04076258,-3.008652461
13,googlesamples/android-architecture,Mobile development; Patterns,122,"60,345",GPU-PDMM,sample work code github architecture android readme annotation metric read ,view fragment activity presenter bind viewmodel service dagger reference contract ,build proguard log return error application length timeout connection app ,0.13777002,-0.086120444,-0.082953227,-4.453496845
14,googlesamples/android-architecture,Mobile development; Patterns,122,81,LDA,sample architecture fragment project start repo great style tablet pull ,code build android proguard log return metric error file implementation ,view work dagger activity presenter read github bind repository viewmodel ,0.17651829,-0.038760094,-0.067466524,-4.693938022
15,googlesamples/android-architecture,Mobile development; Patterns,122,1768,PTM,work code presenter metric read file great reference contract timeout ,sample architecture fragment android github project error start content change ,build view activity proguard log return bind repository viewmodel service ,0.220500613,-0.008731378,-0.060702134,-3.670302752
16,iBotPeaches/Apktool,Mobile development; Reverse engineering,884,"516,606",GPU-PDMM,apk app work error android decompile recompile string debug default ,resource source build find install application project framework question check ,apktool file decode folder smali change class java aapt method ,0.28733126,-0.13335681,-0.025930896,-4.413316095
17,iBotPeaches/Apktool,Mobile development; Reverse engineering,884,703,LDA,apktool file apk decode folder add smali code app application ,apktool app apk error file debug decompile recompile issue problem ,string default warn translation work apktool apk support error android ,0.202319414,-0.200454342,-0.026583299,-4.061238909
18,iBotPeaches/Apktool,Mobile development; Reverse engineering,884,21541,PTM,apktool apk file app error decompile decode folder recompile resource ,work android apktool build issue version problem code java project ,string debug default warn translation art main androidruntime exception byte ,0.196526303,-0.129617535,-0.027891598,-3.570228489
19,davidguttman/node-browserify,Web development,183,"150,083",GPU-PDMM,browserify file require bundle include build load option external app ,work npm code node err folder install react fine webpack ,module var function error library find stream readable datum project ,0.183608133,-0.056193404,-0.057902797,-3.488714691
20,davidguttman/node-browserify,Web development,183,218,LDA,browserify work code problem indexjs bundle fine webpack test jquery ,npm var module err code stream file error node include ,require browserify bundle file work build load library module function ,0.326678904,-0.085609587,-0.018144363,-2.97074618
21,davidguttman/node-browserify,Web development,183,5707,PTM,browserify var stream option readable datum return provide pass export ,work file require code module function include error build load ,npm bundle browserify node err folder install project external app ,0.280171556,-0.117832572,-0.054719857,-2.961078021
22,BVLC/caffe,[Machine learning] System,"4,295","2,907,668",GPU-PDMM,caffe model work python problem set net build code create ,layer image train test loss datum training network gpu input ,error file check version install fail find compile import module ,0.391334387,0.092515608,-0.041119052,-3.055592002
23,BVLC/caffe,[Machine learning] System,"4,295","4,446",LDA,layer loss label data test image iteration set top datum ,error caffe file install python instal version import fail build ,caffe image model train work file python question gpu code ,0.263222774,-0.067452789,-0.077681504,-4.277126744
24,BVLC/caffe,[Machine learning] System,"4,295",122499,PTM,error caffe file version install instal cuda build compile fail ,caffe model work problem gpu code train check question python ,layer image loss datum data label file input size output ,0.265320496,-0.041690154,-0.070459319,-4.498021215
25,ConsenSys/smart-contract-best-practices,Patterns; Blockchain,"1,611","1,115,336",GPU-PDMM,contract uint address return test error call smart web deploy ,truffle token network transaction question geth node good build user ,function public gas solidity ether send case account issue string ,0.275752426,-0.101842669,-0.053365491,-3.328129298
26,ConsenSys/smart-contract-best-practices,Patterns; Blockchain,"1,611","1,564",LDA,function uint return contract address public owner call state web ,contract truffle deploy test error network geth web transaction migration ,contract token smart question code gas address send ether solidity ,0.195548481,-0.166086909,-0.07623902,-3.741129792
27,ConsenSys/smart-contract-best-practices,Patterns; Blockchain,"1,611",46215,PTM,contract error call token gas address transaction code function web ,function uint return public owner address contract test sku string ,contract truffle deploy network question test geth work smart node ,0.230462335,-0.104043761,-0.044706772,-3.840092889
28,ConsenSys/truffle,Integrated development environment; Blockchain,"62,678","39,559,460",GPU-PDMM,truffle contract test function work address return issue file version ,call code time create build thing question find start add ,error deploy web network transaction gas account testrpc migration run,0.459342241,0.010896927,-0.025668691,-1.786134003
