corpus,model,normalization,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10
Android,BTM,lemma,view contract presenter great content ,wrong null issue return big ,live bind datum view model ,repo code architecture build project ,dagger inject repository reference implementation ,final channel listchannel getchannel cursor ,job service log activity viewmodel ,file stable import basically wait ,tablet layout variant fragment add ,fragment sample specific beautiful branch 
Android,DMM,lemma,return final autogenerate dao implementation ,project github wrong sample metric ,null work issue enable return ,activity viewmodel service data body ,view live model comment content ,view presenter contract proguard great ,build sample code log start ,fragment sample specific idea reason ,dagger pull request inject repository ,file mvvm sample code files 
Android,GPU-PDMM,lemma,proguard work view live model ,sample fragment annotation start question ,build tablet comment layout variant ,dagger presenter data datum branch ,activity viewmodel bind job service ,return final brother pull null ,great view contract architecture presenter ,remove service loader style static ,request file view content miss ,log length travis code metric 
Android,WNTM,lemma,return final autogenerate dao implementation ,project github wrong sample metric ,null work issue enable return ,activity viewmodel service data body ,view live model comment content ,view presenter contract proguard great ,build sample code log start ,fragment sample specific idea reason ,dagger pull request inject repository ,file mvvm sample code files 
Android,LDA,lemma,code repo style start project ,sample fragment tablet unofficial question ,activity bind repository viewmodel service ,build log proguard length check ,content sample branch provide specific ,read android error connection library ,return final autogenerate dao implementation ,view presenter contract pull request ,work issue github application big ,metric comment arquitecture code file 
ConsenSys,BTM,lemma,uint address function public contract ,contract question file smart work ,test contract deploy style migration ,newkey web consolelogweb toasciiweb error ,network truffle contract deploy migration ,token uint ether amount accept ,contract function error gas nub ,sku uint function item modifier ,contract address token smart ethereum ,function public return access uint 
ConsenSys,DMM,lemma,truffle contract network deploy web ,geth test work block understand ,function return public uint contract ,contract token ether send address ,question contract good code find ,error transaction gas state network ,contract function call address smart ,uint string address byte struct ,contract smart blockchain store app ,sku function uint item test 
ConsenSys,GPU-PDMM,lemma,sku item test newkey web ,token user ethereum transfer erc ,error transaction return nub issue ,practice good find channel pattern ,contract smart function address call ,truffle network geth migration node ,gas send ether account transaction ,uint function return public owner ,test code work question write ,web access byte key string 
ConsenSys,WNTM,lemma,test geth node pass case ,contract call function smart ether ,store datum storage cost good ,token user amount transfer accept ,web newkey consolelogweb toasciiweb error ,return public function uint owner ,uint sku item state modifier ,truffle smart contract deploy build ,test contract deploy code solidity ,network transaction migration error successful 
ConsenSys,LDA,lemma,question good code practice channel ,error transaction return nub issue ,contract test smart work deploy ,contract function call address smart ,truffle network geth deploy build ,web error gas newkey transaction ,token contract ether address send ,function return uint public address ,contract ethereum keep smart create ,uint byte string gas cost 
WebpackDocs,BTM,lemma,work data issue lot return ,chunk code api user token ,import issue doc repos plugin ,coreumdjs subscribert zonejs div subscribernext ,click event div button app ,webpack work point doc good ,button div code upload close ,script appid sportsservice email pass ,github webpackdocs sokra update wiki ,loader test true options vue 
WebpackDocs,DMM,lemma,webpack plugin doc module documentation ,work site start nice good ,github webpackdocs sokra update wiki ,webpack time work link configuration ,webpack loader test vue build ,coreumdjs div button subscribert code ,cool webpack point question content ,feel good webpack idea doc ,webpack commonjs code doc bundle ,work script email idea appid 
WebpackDocs,GPU-PDMM,lemma,github webpackdocs push commit sokra ,time idea work css solution ,github sokra update wiki webpackdocs ,good point feel idea question ,work build site content npm ,code file import script work ,webpack issue doc comment brand ,add coreumdjs button div error ,webpack loader plugin module find ,chunk bundle commonjs nice webpack 
WebpackDocs,WNTM,lemma,plugin content build repos edit ,webpack module space doc import ,event click write import button ,script appid div open idea ,work app fairly guide simple ,loader test vue options var ,code error add provide chunk ,github webpackdocs sokra update wiki ,site bundle work stuff bit ,file fine html property coreumdjs 
WebpackDocs,LDA,lemma,add coreumdjs code button div ,script work problem solution email ,doc webpack site commonjs great ,issue webpackdocs github comment doc ,link chunk work bundle add ,github sokra webpackdocs update wiki ,work build start content npm ,webpack loader plugin understand documentation ,good point feel question issue ,webpack code write stuff lot 
Jenkinsci,BTM,lemma,jenkins cause class error fail ,plugin false credential true git ,job script plugin jenkin pipeline ,file jenkin secret jenkins credential ,nov attribute global casc view ,plugin jenkin configuration file yaml ,plugin jcasc work issue release ,sudo install docker table aptget ,scope key private global credential ,info oct error runcommand mar 
Jenkinsci,DMM,lemma,issue plugin release github work ,secret credential file vault docker ,class jenkins plugin export cause ,test error info work build ,meeting time work jcasc week ,configuration file jenkin config plugin ,job script file create plugin ,file casc work yaml key ,plugin support version release jenkin ,info plugin false configuration java 
Jenkinsci,GPU-PDMM,lemma,info false plugin true error ,credential secret key file variable ,time meeting week nice great ,job script work create pipeline ,file yaml config configuration work ,issue work github create good ,release test update build version ,error class fail cause root ,plugin jcasc support code list ,plugin jenkin jenkins jcasc configure 
Jenkinsci,WNTM,lemma,jenkin file casc config yaml ,instal plugin git install version ,file secret root docker jenkin ,global credential casc nov key ,jenkins false true jenkin numexecutor ,info error fail project snapshot ,class cause jenkins error fail ,issue plugin jcasc work release ,script pipeline jenkin create master ,week meeting time jcasc work 
Jenkinsci,LDA,lemma,info error fail build test ,job jenkins script cause plugin ,jenkin plugin jenkins configuration casc ,work issue find code good ,class plugin field type export ,plugin support jcasc update version ,meeting time week jcasc nice ,credential system false user true ,issue release github create jira ,file secret yaml vault variable 
Locomotive,BTM,lemma,gem group development rail read ,div html token body color ,alpha librubygem librubygems render gift ,wagon work engine locomotive site ,appweb debug runtime mope query ,site set content work locomotive ,channel format display select withscope ,work content image include file ,true false project div image ,push librubygem block appweb persisting 
Locomotive,DMM,lemma,wagon engine version work gem ,liquid work code tag action ,site create engine email locomotive ,content type entry post field ,work good cache issue great ,div appweb channel editabletext assign ,push error librubygem block librubygems ,locomotive work site rail engine ,image file work upload add ,gem true require false group 
Locomotive,GPU-PDMM,lemma,gem project require true false ,work issue good thing time ,block librubygem appweb method librubygems ,site locomotive create set domain ,file image asset add url ,version locomotive engine rail gem ,liquid code call api render ,div text editable capture assign ,content type entry post create ,wagon engine error push site 
Locomotive,WNTM,lemma,channel post call format create ,file error skip image persisting ,div html editabletext body classrow ,locomotive add site user log ,wagon site engine deploy work ,true false assign project image ,gem rail group development bundle ,block librubygem push appweb librubygems ,mongodb work layout class documentation ,set email api token url 
Locomotive,LDA,lemma,wagon push file image error ,work locomotive good great awesome ,site work engine cache heroku ,div true image capture false ,issue error librubygem editable render ,api action email send code ,file appweb add link channel ,liquid steam locomotive add template ,gem version wagon engine rail ,content type entry create site 
SpringSecurity,BTM,lemma,request debug spring access return ,null info debug public filter ,nio exec user debug cefc ,token user server session request ,input form div login html ,user return username permission role ,release releasejar bean springbeans create ,spring project security issue work ,spring security oauth request work ,public void exception throw class 
SpringSecurity,DMM,lemma,issue sample work spring code ,filter security spring authentication request ,user role password method authority ,user session spring login request ,login redirect request form work ,request null authentication return user ,spring security boot oauth work ,public void exception class throw ,token server oauth client request ,spring security work user create 
SpringSecurity,GPU-PDMM,lemma,release releasejar user request security ,filter request authentication add set ,public return class exception void ,test work error fail thread ,user authentication password role authenticate ,work issue code sample problem ,login session user redirect app ,spring security boot application configuration ,method bean create call default ,token oauth server client resource 
SpringSecurity,WNTM,lemma,release releasejar client return oauth ,server oauth client token resource ,spring security issue project support ,bean method create security custom ,login session redirect user spring ,user password username role return ,authentication filter request url security ,public void throw exception private ,null debug true principal credential ,header request null error post 
SpringSecurity,LDA,lemma,public class return exception void ,token server session request user ,filter security spring method custom ,spring security boot oauth work ,oauth client token authentication service ,sample work problem code question ,request null error debug authentication ,user role password username check ,issue work good change code ,login request redirect work url 
Flutter,BTM,lemma,eflutter asynchronous suspension error closure ,android version flutter device sdk ,widget call state list class ,flutter app work code android ,iflutter exception widget child throw ,return string final await class ,build error fail project file ,class dart library flutter asset ,export device copy exclude flutter ,child widget return context color 
Flutter,DMM,lemma,screen button app change flutter ,flutter work dart code good ,flutter version android package dart ,flutter android app build work ,widget call state class method ,widget child container list image ,flutter app plugin code work ,return string await type final ,iflutter error eflutter exception flutter ,child widget return context class 
Flutter,GPU-PDMM,lemma,iflutter child widget eflutter flutter ,widget child text color container ,flutter dart library native google ,flutter app android ios build ,image user app firebase list ,flutter version file package dart ,return context final string class ,error code work fail problem ,widget call state class method ,work code issue time question 
Flutter,WNTM,lemma,android flutter version device ios ,child color container text return ,screen list call state app ,flutter version dart package sdk ,eflutter export asynchronous type suspension ,error build file fail project ,iflutter throw exception assertion size ,flutter app dart work plugin ,string await return var async ,class return dart library extend 
Flutter,LDA,lemma,app flutter firebase image user ,widget screen text list button ,flutter android app ios work ,flutter file package project version ,child widget return context color ,widget call state build method ,return type string class await ,work issue code question good ,flutter dart app code native ,error iflutter exception fail build 
GitterHQ,BTM,lemma,width height style display button ,error npm warn file err ,return amount def sell cliente ,var user password username null ,work code project app learn ,error java class symbol package ,function code var error return ,var final public true string ,div input form html button ,int string public number return 
GitterHQ,DMM,lemma,learn language work java good ,file error work install app ,git github work code gitter ,server api file request work ,question code room good work ,work token create time contract ,work css html image code ,return function var string number ,code function error call work ,div var button input error 
GitterHQ,GPU-PDMM,lemma,div error var return function ,code work problem thing write ,file git install version create ,div html button add image ,learn language app web java ,question room answer gitter chat ,function return var string number ,error code test import message ,project work good developer time ,user server create api send 
GitterHQ,WNTM,lemma,var true return button function ,public string int class import ,error git file npm version ,number case item token break ,code project people time find ,width add html button image ,function code method error array ,server user request api database ,learn language web framework developer ,div input form button table 
GitterHQ,LDA,lemma,git github repo nan branch ,learn language java javascript framework ,error file install version work ,question code room answer chat ,function return var string array ,div button html input form ,project developer work app web ,file work code link html ,time thing work good problem ,api server user request database 
Laravel,BTM,lemma,php install file error artisan ,div option span php select ,table user null return model ,echo input apr code message ,laravel work user file php ,function return presfdump var len ,return function public user request ,sep len block mythicaurora kernel ,npm err error verbose file ,location sha null array gcmsha 
Laravel,DMM,lemma,file laravel work image blade ,nan work laravel install composer ,php error file artisan server ,function return public user request ,query return array collection work ,user laravel request token work ,laravel work good php question ,table user model column create ,method route controller class model ,div function return input user 
Laravel,GPU-PDMM,lemma,div function return user input ,nan error work code test ,laravel package app project good ,work problem time question laravel ,function return public class method ,file folder image path view ,user request route token post ,table user model query create ,php server artisan composer install ,array return null string object 
Laravel,WNTM,lemma,password email username header client ,install require package conclusion update ,file work server artisan php ,laravel work project code app ,return null array user model ,table user model query column ,error file array message php ,npm err var file error ,user request route method controller ,div input option form select 
Laravel,LDA,lemma,file laravel work install composer ,file request error form image ,php error artisan file server ,function return public php class ,work problem question issue time ,user route middleware token laravel ,nan div input option echo ,table user column model query ,model method call query class ,laravel good php project work 
Android,BTM,stem,tablet layout variant sampl fragment ,view contract great present work ,fragment sampl specif present beauti ,project architectur wrong null github ,viewmodel dagger servic activ editview ,final channel listchannel getchannel cursor ,live data bind model view ,code file pull request open ,log length build travi proguard ,verbos proguard face search find 
Android,DMM,stem,repo project github sampl build ,tablet layout variant harder sampl ,data bodi commit comment issu ,build proguard log class travi ,code metric arquitectur architectur github ,viewmodel activ servic pull request ,file editview content code stabl ,view live model repositori data ,sampl present view work fragment ,return final null implement autogener 
Android,GPU-PDMM,stem,build proguard log length editview ,view present data content github ,bodi agre cach dao environ ,final return github cach bodi ,dagger inject provid callback activ ,architectur project commun iirc sens ,file sampl stabl great bind ,servic activ combin viewmodel handi ,code repositori applic unoffici metric ,fragment sampl build start reason 
Android,WNTM,stem,view question contract separ present ,servic job proguard log length ,file import open pull request ,view bind model data livedata ,viewmodel refer dagger provid implement ,fragment sampl specif activ start ,code metric content readm multipl ,layout tablet variant reason todomvptablet ,build project architectur repo app ,final getchannel listchannel channel implement
Android,LDA,stem,issu tablet commit comment null ,architectur project github app variabl ,activ servic pull request open ,proguard build log length job ,sampl fragment question branch compon ,dagger sampl repositori inject build ,return final implement autogener dao ,view data present contract content ,code metric arquitectur file wrong ,work fragment class add layout 
ConsenSys,BTM,stem,contract ga error transact file ,newkey web consolelogweb toasciiweb assertequalweb ,sku uint function modifi item ,test deploy contract migrat style ,token contract address uint distribut ,contract truffl deploy web node ,function public return uint contract ,function contract uint call return ,function amazon return uint item ,address uint string contract code 
ConsenSys,DMM,stem,truffl network contract migrat deploy ,contract dapp work develop smart ,token contract ether address smart ,test function contract call case ,contract call function address smart ,uint string data byte address ,function return public uint contract ,contract code good question find ,error ga transact state network ,sku function uint newkey test 
ConsenSys,GPU-PDMM,stem,sku test item newkey web ,web work issu account check ,truffl migrat network geth node ,contract deploy function smart call ,error transact ga limit block ,uint function return public address ,token ether user creat dapp ,contract test solid string code ,data blockchain ga variabl store ,question good practic code interest 
ConsenSys,WNTM,stem,test data pass case struct ,web newkey key consolelogweb toasciiweb ,sku uint item modifi function ,return public uint function address ,state transact call error success ,pattern project good dapp peopl ,node geth work privat ethereum ,token user ether amount transfer ,truffl deploy migrat test contract ,contract function address solid smart 
ConsenSys,LDA,stem,contract token call function address ,question code good practic work ,function uint return state sku ,geth node local problem test ,error ga transact issu check ,data ga storag store cost ,contract truffl deploy migrat network ,function contract public address uint ,web newkey key var error ,contract smart dapp user ethereum 
WebpackDocs,BTM,stem,coreumdj subscribert zonej div subscribernext ,document doc issu plugin repo ,work webpack chunk data modul ,click event div appdyanm button ,script appid sportsservic email pass ,webpack doc plugin issu question ,loader test option true vue ,code button div var upload ,statu error idea webpack lot ,github webpackdoc sokra updat wiki 
WebpackDocs,DMM,stem,work issu error content link ,coreumdj script code subscribert div ,github webpackdoc sokra updat wiki ,webpack loader doc test modul ,add app click work check ,work webpack antwar npm cool ,webpack idea site nice good ,webpack doc plugin import document ,webpack work chunk code plugin ,webpack good feel issu develop 
WebpackDocs,GPU-PDMM,stem,time build error antwar nice ,site work solut function feedback ,work content start bit cool ,webpack doc plugin document understand ,good point feel idea question ,github webpackdoc sokra push commit ,loader webpack modul test vue ,add coreumdj button div file ,updat github wiki sokra webpackdoc ,code script angular work user 
WebpackDocs,WNTM,stem,work site thing build super ,div coreumdj file properti subscribert ,error statu idea work messag ,loader test vue option true ,plugin webpack repo document issu ,script app click angular event ,github webpackdoc sokra updat issu ,webpack point specif npm check ,doc modul space import chunk ,code error work add provid 
WebpackDocs,LDA,stem,script work import email file ,webpack doc plugin document modul ,good question point feel channel ,github sokra webpackdoc updat wiki ,site work idea start check ,work content cool npm bit ,code add coreumdj button div ,issu github comment webpackdoc webpack ,build webpack thing gener bundl ,webpack loader develop test vue 
Jenkinsci,BTM,stem,info oct onattain start file ,jenkin configur plugin file yaml ,nov configur casc warn global ,fals jenkin configur caus true ,plugin work jcasc issu jenkin ,credenti secret jenkin scope descript ,plugin git api pipelin credenti ,sudo instal docker tabl aptget ,info error runcommand mar parent ,import class privat public secret 
Jenkinsci,DMM,stem,plugin configur work code class ,plugin releas issu work github ,configur class plugin jenkin root ,meet time jenkin jcasc week ,jenkin plugin instal configur jcasc ,error test info build fail ,file secret yaml jenkin variabl ,export work configur credenti jcasc ,job script jenkin file plugin ,info credenti configur plugin jenkin 
Jenkinsci,GPU-PDMM,stem,info fals configur plugin warn ,file yaml jenkin docker secret ,jenkin configur plugin jcasc casc ,credenti key secret privat system ,class configur error export caus ,test work error fail build ,job script work creat pipelin ,meet time nice week great ,plugin releas updat jcasc version ,issu work github check find 
Jenkinsci,WNTM,stem,fail warn project error tat ,error step script pipelin java ,info oct root download runcommand ,meet week time jcasc work ,jenkin file casc config instanc ,credenti secret system scope global ,jcasc issu work plugin github ,fals true jenkin url numexecutor ,instal plugin git version releas ,class jenkin caus error type 
Jenkinsci,LDA,stem,work issu imagepng permiss java ,jenkin file configur config yaml ,plugin work test document jcasc ,secret credenti key file variabl ,job script jcasc work creat ,meet time week nice jcasc ,info error test fail build ,releas issu plugin github fix ,plugin instal jenkin support jcasc ,configur class caus error fail 
Locomotive,BTM,stem,fals true project imag type ,div true endif block prioriti ,var action member work api ,wagon work engin site instal ,librubygem block alpha push render ,gem group develop rail read ,appweb debug call flag mope ,channel appweb connect session select ,div gift html token bodi ,work content locomot site engin 
Locomotive,DMM,stem,site locomot engin creat set ,wagon engin version gem work ,locomot work cach site version ,good issu work time question ,content type entri work field ,gem div appweb editabletext develop ,librubygem push error persist block ,imag work edit file remov ,liquid code work locomot tag ,true var project assign work 
Locomotive,GPU-PDMM,stem,gem project requir rubi rail ,file imag asset upload set ,work issu good cach problem ,error librubygem push block method ,post translat appweb local url ,locomot site creat add host ,content type edit entri creat ,action api send server form ,wagon engin version work instal ,liquid code render div tag 
