Number,Chat Room,Topic01,Topic02,Topic03,Themes,Number of docs used (before data pre-processing),Processing Time (milliseconds)
1,akka/akka,actor message stream val source create cluster node flow error ,akka work question thing good issue java find write idea ,case request http code type test scala file class response ,Application programming interface; Distributed software development,"70,802","46,703,377"
2,R4stl1n/allianceauth,file error work user group server update issue change discord ,thing stuff run character database wait guess pull git write ,api set python corp alliance key celery seat member task ,Authentication,"96,275","30,064,089"
3,allure-framework/allure-core,allure report generate plugin version dependency folder jenkin build info ,file error add java testng xml method class feature public ,test work issue step create fail project case problem find ,Software testing,"14,869","6,433,334"
4,amethyst/engine,work type thing time good pass code add stuff crate ,system amethyst game event engine user rust thread pretty input ,asset component entity file trait load transform datum format config ,Games development,"22,282","9,907,578"
5,googlesamples/android-architecture,sample work code github architecture android readme annotation metric read ,view fragment activity presenter bind viewmodel service dagger reference contract ,build proguard log return error application length timeout connection app ,Mobile development; Patterns,122,"60,345"
6,iBotPeaches/Apktool,apk app work error android decompile recompile string debug default ,resource source build find install application project framework question check ,apktool file decode folder smali change class java aapt method ,Mobile development; Reverse engineering,884,"516,606"
7,davidguttman/node-browserify,browserify file require bundle include build load option external app ,work npm code node err folder install react fine webpack ,module var function error library find stream readable datum project ,Web development,183,"150,083"
8,BVLC/caffe,caffe model work python problem set net build code create ,layer image train test loss datum training network gpu input ,error file check version install fail find compile import module ,[Machine learning] System,"4,295","2,907,668"
9,ConsenSys/smart-contract-best-practices,contract uint address return test error call smart web deploy ,truffle token network transaction question geth node good build user ,function public gas solidity ether send case account issue string ,Patterns; Blockchain,"1,611","1,115,336"
10,ConsenSys/truffle,truffle contract test function work address return issue file version ,call code time create build thing question find start add ,error deploy web network transaction gas account testrpc migration run,Integrated development environment; Blockchain,"62,678","39,559,460"
11,cypress-io/cypress,cypress test work file error command run request fail open ,issue time app click problem wait thing question start user ,element code function call return url find add write response ,Software testing,"82,216","50,062,293"
12,DefinitelyTyped/DefinitelyTyped,type error import test package project npm issue version object ,export module interface function string class declare question pull request ,file definition typing work typescript dts library write reference update ,Software maintenance,"1,612","959,474"
13,Elsevier Core Engineering/replicator,scale replicator nomad cluster run debug instance error worker pool ,job work group deployment time update start system drain week ,node config asg meta log consul client key configuration issue ,Cloud computing,"1,249","574,257"
14,expressjs/express,route request error var work user code function middleware return ,server node api good create client time thing project write ,express app file question set res module start path static ,Web development,"18,864","11,172,529"
15,facebook/flow,function error object work property prop class issue import flowtype ,type flow code component generic var void pass test argument ,string return file number export foo definition declare state const ,Code quality; Web development,"1,741","1,201,689"
16,FreeCodeCamp/HelpBackEnd,work file code error app npm user project err server ,sparkle send point brownie heroku test git push command script ,var function return url call datum find data read callback ,Back-end; Coding,"122,406","55,284,138"
17,FreeCodeCamp/Contributors,issue npm error challenge test code merge guide time freecodecamp ,sparkle point send brownie link good open project question people ,work file fcc branch add git commit update thing pull,Coding,"34,835","21,598,934"
18,FreeCodeCamp/DataScience,data sparkle work project point good send science brownie fcc ,datum time code find question link interesting interested problem analysis ,people learn thing python learning lot check read room bit,[Machine learning] Libraries; [Machine learning] System,"15,102","11,516,537"
19,FreeCodeCamp/testable-projects-fcc,travis work build puppeteer repo stuart tracey git docker issue ,test project fail locally pass good server problem beta personal ,link cdn correct code codepen late create version step update,Coding,210,"108,186"
20,flutter/flutter,widget child error build return class call list add image ,flutter app android file create plugin ios version project package ,work code dart issue time thing good question find start ,Multi-platform development,"182,853","94,161,158"
21,BinaryMuse/fluxxor,flux component dispatch fluxxor call state work datum react event ,function thing var code render route return method create issue ,store action view change update user case api async handle ,Patterns; Web development,"2,707","1,939,810"
22,ga4gh/server,file server work error git issue version master branch case ,reference set vcf support access vcfs callset referenceset store variant ,call test sequence add python module exception schema thing graph ,Coding; Application programming interface,221,"124,162"
23,piskvorky/gensim,model word vector document doc work file vec topic list ,text python time test find small add version import size ,gensim corpus train training code good issue similarity large fasttext ,[Machine learning] Libraries,"1,743","1,299,295"
